Node1,Node2,Type,Gnarl,Route
Kareti,Ngapuketurua,Track,Umknown,NA
BurnHutJctn,Ngapuketurua,Track,Uknown,NA
BurnHutJctn,BeberForks,Track,Uknown,NA
MangahaoDam,BeberForks,Track,Uknown,NA
Elder,Aston,Track,VeryGnarly,NA
Elder,Renata,Track,VeryGnarly,NA
RenataHut,Renata,Track,VeryGnarly,NA
RenataHut,MaymornJunction,Track,VeryGnarly,NA
MaymornJunction,Kakanui,Road,Low,NA
MaymornJunction,Kapakapanui,Track,Unknown,NA
Ngatiawa,Kapakapanui,Track,Unknown,NA
Ngatiawa,KapakapanuiHut,Track,Unknown,NA
Kapakapanui,KapakapanuiHut,Track,Unknown,NA
MaymornJunction,WaiotauruHut,Track,Unknown,NA
AkatarawaSaddle,Kakanui,Road,Low,NA
WaiotauruHut,WaiotauruForks,Track,Gnarly
OtakiForks,WaiotauruForks,Track,Gnarly
OtakiForks,Boielles,Track,Low,NA
OtakiForks,Pukeatua,Track,Unknown,NA
OtakiForks,Mangaone,Track,Unknown,NA
